raw_track_id,track_id,new_track_id,clinic_id
233364,233364,233364,
233365,233365,233365,
233368,233368,233368,
233382,233382,233382,
233383,233383,233383,
233417,233417,233417,
233421,233421,233421,
233422,233422,233422,
233426,233426,233426,
233429,233429,233429,
233430,233430,233430,
233432,233432,233432,
233434,233486,233486,
233435,233435,233435,
233436,233436,233436,
233437,233437,233437,
233440,233440,233440,
233460,233460,233460,
233485,233485,233485,
233486,233486,233486,
233489,233489,233489,
233514,233514,233514,
233520,233520,233520,
233523,233523,233523,
233525,233525,233525,
233527,233527,233527,
233529,233529,233529,
233530,233536,233536,
233531,233531,233531,
233532,233532,233532,
233533,233533,233533,
233535,233535,233535,
233536,233536,233536,
233538,233604,233604,
233540,233540,233540,
233541,233658,233658,
233542,233542,233542,
233543,233543,233543,
233544,233544,233544,
233547,233547,233547,
233551,233570,233570,
233553,233553,233553,
233566,233566,233566,
233567,233658,233658,
233569,233569,233569,
233570,233570,233570,
233586,233586,233586,
233598,233598,233598,
233600,233600,233600,
233604,233604,233604,
233611,233839,233839,
233612,233612,233612,
233613,233613,233613,
233619,233619,233619,
233630,233630,233630,
233646,233646,233646,
233651,233651,233651,
233653,233653,233653,
233655,233655,233655,
233658,233658,233658,
233659,233659,233659,
233661,233661,233661,
233667,233667,233667,
233668,233668,233668,
233669,233669,233669,
233670,233670,233670,
233672,233702,233702,
233681,233702,233702,
233687,233687,233687,
233692,233692,233692,
233693,233702,233702,
233694,233694,233694,
233695,233695,233695,
233702,233702,233702,
233706,233706,233706,
233707,233707,233707,
233710,233760,233760,
233711,233711,233711,
233719,233719,233719,
233723,233723,233723,
233726,233726,233726,
233728,233813,233813,
233731,233731,233731,
233733,233733,233733,
233734,233734,233734,
233736,233736,233736,
233738,233738,233738,
233744,233744,233744,
233752,233752,233752,
233753,233753,233753,
233759,233759,233759,
233760,233760,233760,
233763,233763,233763,
233770,233770,233770,
233772,233772,233772,
233774,233774,233774,
233776,233776,233776,
233777,233839,233839,
233778,233778,233778,
233779,233779,233779,
233780,233813,233813,
233786,233786,233786,
233788,233788,233788,
233790,233790,233790,
233792,233792,233792,
233807,233807,233807,
233808,233808,233808,
233810,233810,233810,
233813,233813,233813,
233819,233819,233819,
233820,233820,233820,
233834,233834,233834,
233835,233835,233835,
233838,233838,233838,
233839,233839,233839,
233843,233843,233843,
233844,233844,233844,
